School Name,Address,Website,City,Category,Gender,Principal,Founded,Affiliation,Web Url,Fees,Revenue,Mobile/Contact Number,Principal/Heigher Mgm. Emails,Emails,Other Higher Mgm. Email,Other Email,Other Email.1,Contact number,Contact number.1,Contact number.2,Merged_Unnamed,,,
Little Angels High School - LAHS,"Shivpuri Link Rd, Mahadji Nagar, Gwalior, Madhya Pradesh 474009",http://www.lahs.org/,Madhya Pradesh,"School, CBSE School",,Dr. Mrs. Shabana Rehan jaiswal,,,,"2 crore, 2.5 crore",,0751 401 4010,"athnas.msc@yahoo.com, anish1974@gmail.com","joshi19@gmail.com, msc.manoj@gmail.com",support@lahs.org,info@lahs.org,lahs.office@littleangels-sion.in,lais.office@littleangels-sion.in,jane@lahs.org,,,,,
Little Rock Indian School,"Hebri - Brahmavar Rd, Heranje, Bramavara, Karnataka 576213",http://www.littlerock.edu.in/,Karnataka,Schools,,,1982,,,,,0820 256 2400,peter1967@gmail.com,,litroc77@hotmail.com,principal@littlerock.edu.in,director@littlerock.edu.in,918277061199,917892045200,917349151977,,,,
Little Rock Indian School,"Priority Highlands, Bramavara, Karnataka 576213",http://littlerock.edu.in/,Karnataka,Schools,,,,,,8 lakh,,0820 256 1977,paramitaghosal@hotmail.com,,litroc77@hotmail.com,principal@littlerock.edu.in,director@littlerock.edu.in,918277061199,917892045200,917349151977,,,,
Little Rock Indian School Basket Ball Ground,"Heranje, Bramavara, Karnataka 576213",http://littlerock.edu.in/,Karnataka,Schools,,,,,,5 lakh,,0820 256 1199,umesh.msc@gmail.com,,litroc77@hotmail.com,principal@littlerock.edu.in,director@littlerock.edu.in,918277061199,917892045200,917349151977,,,,
Loreto Convent School,"G. T. Road, West Asansol, Bardhaman, opposite Loco Tank, Asansol, West Bengal 713301",http://www.loretoasansol.in/,West Bengal,Private School,,Mrs J S George,,,,5 crore,,0341 228 1099,paul.phd@gmail.com,savita.phd@gmail.com,mail@loretodelhi.com,loretodelhi@gmail.com,,8009881030,,,"admission.naini@jaipuria.school, info.naini@jaipuria.school, rana.manju@yahoo.co.in, gzb.jaipuria54205@gmail.com, enquiry.stg@jaipuria.school, rana.manju@yahoo",,,
Lotus Valley International school,"A Block, C Block, Sector 44, Noida, Uttar Pradesh 201303",http://www.amity.edu/ais/aiss/,Uttar Pradesh,International School,,,,,,9 lakh,,0120 439 9000,raghavabha@rediff.com,,principal@lotusvalleygurgaon.com,info@lotusvalleygurgaon.com,vp@lotusvalleygurgaon.com,9650544997,9910220942,anitamalh@gmail.com,,,,
Lotus Valley International school,"Expressway, Sector 126, Noida, Uttar Pradesh 201313",http://www.lotusvalley.com/,Haryana,Private Schoos,,,,,,12 lakh,,099109 62228,sangeeta4@yahoo.com,,principal@lotusvalleygurgaon.com,info@lotusvalleygurgaon.com,vp@lotusvalleygurgaon.com,9650544997,9910220942,anitamalh@gmail.com,,,,
Loyola College,"Sterling Rd, Nungambakkam, Chennai, Tamil Nadu 600034",http://www.loyolacollege.edu/,Chennai,School,,G. Joseph Antony Samy,,,,,,044 2817 8200,arun13@gmail.com,ashok3@gmail.com,principal@loyolacollege.edu,helpdesk@loyolacollege.edu,vps1@loyolacollege.edu,lsss@loyolacollege.edu,erp@loyolacollege.edu,deanofstudents@loyolacollege.edu,,,,
Loyola Public School,"Loyola Nagar, Nallapadu, Guntur, Andhra Pradesh 522005",http://loyolapublicschool.org/,"Vijayawada , Andhra Pradesh","SSC School, School, Private School",,"Fr. Uvari Antony, S.J. (2009–)",1964,,,"2 crore, 1/2 crore",,"091216 06671, 0863 229 0268","anitapauline@gmail.com, sumita.bsc@gmail.com","dr.fouzia@gmail.com, krishna2@gmail.com",loyolapublicschool.lps@gmail.com,"loyolabsp@yahopo.in, loyolapublicschool@yahoo.co.in",,9121606671,"9121608250, 8632291034",9121569418,"9816792000, 9816892000, 7404084265, 8685000121",,,
Lucknow Public College A Block,"A-70, Karbala Rd, Block A, Rajajipuram, Lucknow, Uttar Pradesh 226017",http://ablock.lucknowpublicschoolsandcolleges.com/,Uttar Pradesh,ICSE School,,,,,,2.5 crore,,081880 37816,,,principal_ab@lpsc.co.in,principal_ss@lpsc.co.in,principal_lmp@lpsc.co.in,8188037816,9044449933,8090037815,"8895472963, 7619404223, 8789559790, 7461961161",,,
Lucknow Public School,"E,Amrapali Yojna,, Hardoi Rd, Sector A, Lucknow, Uttar Pradesh 226020",http://amp.lucknowpublicschoolsandcolleges.com/,Uttar Pradesh,School,,,,,,2 crore,,094543 68768,,,principal_lmp@lpsc.co.in,principal_ab@lpsc.co.in,principal_ss@lpsc.co.in,7275409090,9235604770,8188037816,7299179999,,,
M.G.M English School,"Jagda, Jhirpani P. O., Rourkela, Dist:, Odisha 769042",http://mgmesrourkela.com/,Odisha,ICSE School,,Father. V. Danial,,,,1/2 crore,,0661 247 1988,madhu.msc@rediff.com,madhav6@gmail.com,mgmenglishmediumschool@gmail.com,arunaceles@gmail.com,,9713343669,9922455822,,,,,
MES International School,"MINI CIVIL STATION, Pattambi, Kerala 679303",http://www.mespattambi.org/,Kerala,"CBSE School, ICSE School, International School, School",,Mrs. Asha Byju,1978,,,"3 crore, 1/2 crore",,097452 29000,"kumar1987@gmail.com, kutty1973@gmail.com, k1965@rediff.com, girish.msc@gmail.com","pro.ritika@gmail.com, ramesh18@gmail.com, yadav8@gmail.com, pro.karnik@gmail.com",messchool@mespattambi.org,mespattambi@gmail.com,"ashabyju1967@gmail.com, pgt_mespts@sancharnet.in","8689999979, 8589999979",9539149000,8689999979,,,,
MOMO BYTES,"Oops vani vidyashala school, Kumar Station Rd, Bhoirwadi, Kalyan, Maharashtra 421301",http://www.thevanischool.org/,Maharashtra,School,,Mrs. Swati Tambe,,,,3 crore,,0251 223 2228,kataria3@gmail.com,kulkarnishyamala@gmail.com,srivanividya@rediffmail.com,info_preprimary@thevanischool.org,info_primary@thevanischool.org,info_secondary@thevanischool.org,,,,,,
MYRA School of Business,"Near Infosys, opposite Power Grid, Yelawala, Karnataka 571130",http://www.myra.ac.in/,Karnataka,School,,,2012,,,2 crore,,099018 53333,,,admissions@myra.ac.in,j.d@myra.ac.in,info@myra.ac.in,9901583333,9901853333,9632783333,,,,
Mahadevi Birla World Academy,"17A, Darga Rd, Beniapukur, Kolkata, West Bengal 700017",http://www.mbwa.org.in/,West Bengal,CBSE School,,Mrs.Anjana Saha,,,,5 crore,,033 2287 3613,er.vijay@gmail.com,dr.dost@gmail.com,info@mbwa.org.in,principal@mbwa.org.in,,9133228736,,,"admission.naini@jaipuria.school, info.naini@jaipuria.school, rana.manju@yahoo.co.in, gzb.jaipuria54205@gmail.com, enquiry.stg@jaipuria.school, rana.manju@yahoo",,,
Maharaja Bir Bikram University,"Collegetilla, Agartala, Tripura 799004",http://www.mbbuniversity.ac.in/,Tripura,Play School,,Biswajit Gupta,,,,1/2 crore,,0381 251 2250,dutt14@gmail.com,vinodchandra4@gmail.com,registrar.mbbu@gmail.com,subirdebbarma24@gmail.com,msumanta@gmail.com,8731909437,,,,,,
Mahatma Gandhi Institute of Technology (MGIT),"Gandipet, Telangana 500075",http://mgit.ac.in/,Peddapalli,International School,,Jaya Sankar Kottareddygari,,,,,,084669 97000,singh7@yahoo.com,dr.gupta@gmail.com,principal@mgit.ac.in,ao@mgit.ac.in,accounts@mgit.ac.in,8466997000,8466992111,8466997009,,,,
Mahatma Hansraj Modern School,"Beside Royal city, shivpuri road, Uttar Pradesh 284419",http://hansrajschool.com/,Uttar Pradesh,Private School,,Ms. Subuhi Rizvi,,,,5 crore,,097925 55516,lukedavid@gmail.com,msc.ahmed@gmail.com,mhmsjhansi@rediffmail.com,,,9792555516,9005361000,9005341000,,,,
Mahatma Public School,"Erimayur, Kootala P.O, Palakkad, Kerala 678681",http://www.mahatmapublicschool.org/,,School,,Dr. K.S.Vinod,2004,,,,,083018 28038,sunilmr@gmail.com,patel.phd@gmail.com,info@mjfpublicschool.com,mahatmapublicschoolerimayur@gmail.com,mahatmapublicschoolerimayur@gmail,9786451666,bcmahatmachavara@gmail.com,education@bec.org,,,,
Malla Reddy Engineering College,"Campus 1, Dulapally Road Maisammaguda Post via. Kompally Rangareddy, Dt, Secunderabad, Telangana 500100",http://www.mrec.ac.in/,Karimnagar,IB school,,Dr. A. Ramaswamy Reddy,,,,,,093481 61303,bbsingh9@gmail.com,davidkadam@gmail.com,principal@mrec.ac.in,admissions@mrec.ac.in,hemareddytpo@mrec.ac.in,9652327675,7207034237,7207231199,,,,
Mater Dei School,"Tilak Ln, Government Officers Colony, India Gate, New Delhi, Delhi 110001",http://www.materdeischool.in/,,School,,Sr. Stella Joseph,1956,Central Board of Secondary Education,,,,011 2338 7679,saha.phd@yahoo.com,rani.bsc@gmail.com,contact@materdeischool.in,materdei59@hotmail.com,fclare@materdei,fclare@materdei.org,,,,,,
Matrushree Anglo Vedic School,"Hill Patna, Brahmapur, Ram Nagar, Brahmapur, Odisha 760005",http://www.mavschool.org/,Odisha,ICSE School,,Mr. Ram Chandra Mahapatro,1973,,,2.5 crore,,0680 223 3475,drbalrajthapar@gmail.com,manohar2@gmail.com,mavschool.berhampur@gmail.com,,,917735335755,8895995001,7735335755,,,,
Medhaam Pre School & Daycare,"C Block Rd, Block C, South City I, Sector 41, Gurugram, Haryana 122001",https://www.medhaam.com/,,Private School,,medhaam.com,,,,,,096541 22900,sanskardreamschoolcom.bsc@gmail.com,shrikapil@gmail.com,info@medhaam.com,schoolhead@medhaam.com,raghav.sharma@medhaam.com,9899775770,+91-9319273930,shifaali.kasliwall@medhaam.com,,,,
Miles Bronson Residential School,"SOS Rd, Near LGB International Airport, Borjhar, Guwahati, Assam 781015",http://mbrs.edu.in/,Assam,"Schools, International School",,,,,,"10 lakh, 12 lakh",,0361 284 1766,"subuhims@gmail.com, mukherjee18@yahoo.com",,principal@mbrs.edu.in,admissioncounselor@mbrs.edu.in,nripen.dutta@gmail.com,9435558154,counsellor.admission@mbrs.edu.in,principal@mbrsguwahati.edu.in,,,,
Minto Circle,"Near, Purani Chungi, AMU Campus, Aligarh, Uttar Pradesh 202001",http://www.mintocircle.com/,Uttar Pradesh,Schools,,Mr. Faisal Nafis,1875,Aligarh Muslim University,,,,571 270 3541,hajela2@gmail.com,shankar.phd@gmail.com,elect_ombudsman@yahoo.com,vmcendz1@gmail.com,sevbccpwd@yahoo.co,,,,,,,
"Mirza Ghalib College, Gaya","White House, White House Compound, Judges Colony, Gaya, Bihar 823001",http://mgcgaya.in/,,School,,Md Jalaluddin Ansari,1969,"University Grants Commission, National Assessment and Accreditation Council",,,,0631 222 0778,kumar10@yahoo.com,dr.chander@gmail.com,mgcgaya@gmail.com,mcggaya@mcggaya.in,mgcprincipalgaya@gmail.com,9473324141,+91-9540323121,,,,,
Model School,"Ambedkar Chowk, Delhi Rd, Mahavir Colony, Company Bagh, Rohtak, Haryana 124001",http://www.modelschoolrohtak.co.in/,"Rohtak, Jhajjar, Haryana, Bhiwani","School, Kids School, Play School, Private School, CBSE School, ICSE School, Doon School, International School",,Dr. Aruna Taneja,1952,Central Board of Secondary Education,,,,01262 253 629,"munmunnath@gmail.com, lalmuankima.phd@gmail.com, shomeswapna@yahoo.com, manidipa1969@gmail.com, swapna.bsc@gmail.com, ms1983@hotmail.com, chaku.bsc@gmail.com, nafis17@rediff.com, b1975@hotmail.com, hooda.msc@yahoo.com, er.sinha@gmail.com, banerjee1980@gmail.com, lathashankar@gmail.com, vidyamritanandaswami@hotmail.com",msc.pal@gmail.com,info@hansrajmodelschool.org,principal@modernschool.net,modern@modernschool.net,"9716512000, office@miramodelschooldelhi.edu, 9999355051","9716513000, khmsav3@gmail.com, 9211101997","9350087086, agrasenschool1985@gmail.com, akashmodelschool5051@gmail.com",,,,
Modern High School for Girls,"78, Syed Amir Ali Ave, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",http://www.mhsforgirls.edu.in/,"West Bengal, Jharkhand","School, Private School, ICSE School, IB school",,Damayanti Mukherjee,3 January 1952,Council for the Indian School Certificate Examinations,,"4 crore, 2.5 crore, 2 crore",,033 2287 5326,"poojamalhotra@gmail.com, amosanuradha@rediff.com, michaeljames@hotmail.com, broramesh@gmail.com, ms1988@gmail.com, kumarshiv@yahoo.com","motghare11@gmail.com, bhikhabhai9@gmail.com, dr.gauri@gmail.com, rangappa.phd@gmail.com, palavidessai@gmail.com, iqbal18@gmail.com",dkar@mhsforgirls.edu.in,principal@mhsforgirls.edu.in,viceprincipal@mhsforgirls.edu.in,"9133228753, 8272958597","9133228760, 9133228753","9133228168, 9133228760","8376073000, 9711004748, +91-8448897662",,,
Modern Public School,"582, Kochabhawar,, Kanpur Road, Jhansi, Uttar Pradesh 284128",http://www.mpsjhansi.org/,"Lalitpur, Kanpur, Jhansi","Kids School, Private School, School, IB school, CBSE School, ICSE School",,Dr. Rohin Vishwanathan,2005,,,,,077558 88850,"srinivasan1988@gmail.com, meenakshi12@gmail.com, veeramrs@hotmail.com, pandey1983@gmail.com, chawla1@gmail.com, mainimadhu@hotmail.com, kkbharty.phd@hotmail.com, dr.singh@hotmail.com, bhawan.bsc@gmail.com, kumarpramod@gmail.com","bothra3@gmail.com, chaudhari17@gmail.com, vinay.msc@gmail.com, msc.qureshi@gmail.com, aditirai@gmail.com, msc.rane@gmail.com, rangaribhagyashree@gmail.com, avneet.bsc@gmail.com","mps2k@mpsshalimarbagh.com, alkakapur23@gmail.com, mpsshaberi@gmail.com, info@modernpublicschool.edu.in","alkakapur23@gmail.com, info@mpsshalimarbagh.com, mpsshaberi@gmail.com","info@mpsshalimarbagh.com, modernpublicschool37@hotmail.com","modernpublicschool37@hotmail.com, 9837468650, +91-9650034737, 9997955554","principal@modernschool.net, mpsshaberi@gmail.com, +91-8130553845, +91-9650034737","modern@modernschool.net, modern.pschool2008@gmail.com, 9837468650, +91-8130553845",,,,
Modern School,"S1 Modern School, Sector 11, Noida, Uttar Pradesh 201301",http://www.modernschoolnoida.com/,Uttar Pradesh,Schools,,,,,,10 lakh,,0120 255 5563,pramod5@gmail.com,,msvvdel@gmail.com,po.msvv@gmail.com,hmjrmsvv@gmail.com,principal@modernschool.net,modern@modernschool.net,admission.rajnagar@modernschoolgz.com,,,,
Modern School Barakhamba Road,"Barakhamba Rd, Todermal Road Area, Mandi House, New Delhi, Delhi 110001",http://modernschool.net/,"Modinagar, Khurja, Faridabad, Delhi","Private School, School, ICSE School",,Dr Vijay Datta,1920,,,,,011 2331 1618,"dr.mukherjee@rediff.com, madhulikamrs@gmail.com, er.bro@gmail.com, sunithavipinchandran@yahoo.com, dr.ranganathan@rediff.com, dr.tyagi@rediff.com","adkine7@gmail.com, dr.phalguni@gmail.com, pro.sharma@gmail.com","principal@modernschool.net, mshbkr@del3.vsnl.net.in","modern@modernschool.net, principal@modernschool.net","admission.rajnagar@modernschoolgz.com, modern@modernschool.net","modernrn@modernschoolgz.com, admission.rajnagar@modernschoolgz.com","mshbkr@del3.vsnl.net.in, modernites@msosa.com",modernites@msosa.com,,,,
Mohanlal Sukhadia University Udaipur,"University Rd, Ganapati Nagar, Udaipur, Rajasthan 313001",http://www.mlsu.ac.in/,Rajasthan,IB school,,,1962,,,3 crore,,0294 247 1035,,,vcmlsu@mlsu.ac.in,registrar@mlsu.ac.in,compt@mlsu.ac.in,coe@mlsu.ac.in,drexam@mlsu.ac.in,helpline@mlsu.ac.in,,,,
Montfort School,"Yercaud, Tamil Nadu 636602",http://www.montfortyercaud.com/,"Tamil Nadu, Peddapalli, Nalgonda","Schools, Board School, ICSE School",,Rev. Bro. Dominic Savio,1917,,,"10 lakh, 5 crore",,04281 222 428,"prakash.bsc@gmail.com, mathur.phd@gmail.com, mssusan@gmail.com","mahadev.phd@gmail.com, gandhishripad@gmail.com","montfortschooldelhi@live.com, ms@vsnl.com, info@montfortschooldkl.com","monumonkurian@gmail.com, montfort96@gmail.com, montfortschooldelhi@live.com, montfortsg@gmail.com","montfortschooldelhi@live, info@montfortworld.com, monumonkurian@gmail.com, admin@lakemontfortschool.in","+91-8281982135, 8761995349, 9902627483","+91-9447989502, 9045184884, 7619667642","9897930250, 9980515821",xxxx@sapphireschool.in,,,
Moridhal College,"P.O. Moridhal, NH 52, Dhemaji, Assam 787057",http://www.moridhalcollege.in/,,School,,Dr Kamal Gogoi,1988,Dibrugarh University,,,,099546 00273,bibhutidr@hotmail.com,satish16@gmail.com,mdlc@rediffmail.com,info@moridhalcollege.in,,7002505424,9954368213,9954600273,,,,
Mount Carmel School,"Kalimpong Khasmahal, Kalimpong, West Bengal 734301",http://www.mcskalimpong.com/,West Bengal,ICSE School,,,,,,4 crore,,03552 257 463,,,info.an@mountcarmeldelhi.com,junior.an@mountcarmeldelhi,info.dw@mountcarmeldelhi.com,9810540751,+91 - 9041043654,9041043655,"9506468601, 9961050550",,,
Mount Carmel School,"Ranjit Vihar-I, Sector 22 Dwarka, Dwarka, New Delhi, Delhi 110077",http://www.mountcarmeldelhi.com/,"Sonipat, Rewari, Mewat, Jhajjar, Gurgaon, Greater Noida, Delhi","ICSE School, Private School, Kids School, International School, School, CBSE School",,"Rajiv Tyagi, Rajiv Tyagi (Dwarka)",1972,,,,,011 2805 2001,"b1978@gmail.com, malsawmdawngi.phd@gmail.com, profvanlalnghakarev@yahoo.com, joseph.phd@hotmail.com, maria.bsc@yahoo.com, ravivictor@gmail.com, singh1985@gmail.com, sbsreejaya.msc@gmail.com, chakraborty.phd@yahoo.com, raman19@yahoo.com, surender1981@gmail.com, drmamata@rediff.com, florence.phd@gmail.com","phd.agarwal@gmail.com, dr.arjun@gmail.com, phd.arif@gmail.com, ramesh.msc@gmail.com",info.an@mountcarmeldelhi.com,"info.dw@mountcarmeldelhi.com, junior.an@mountcarmeldelhi","junior.dw@mountcarmelschool.com, info.dw@mountcarmeldelhi.com",9810540751,9111241133,"info.an@mountcarmeldelhi, junior.an@mountcarmel, mountcarmelgim@gmail.com",,,,
Mount Carmel School,"Ranjit Vihar-I, Sector 22, Dwarka, New Delhi, Delhi 110077",http://www.mountcarmeldelhi.com/,,School,,Rajiv Tyagi (Dwarka),1972,Central Board of Secondary Education,,,,011 2805 2001,revbrother@gmail.com,mittal14@gmail.com,info.an@mountcarmeldelhi.com,info.dw@mountcarmeldelhi.com,junior.dw@mountcarmelschool.com,9810540751,9111241133,,,,,
Mount Carmel School (MCS),"Rosebank,, Rajbari, Darjeeling, West Bengal 734102",http://www.mountcarmelschooldarjeeling.weebly.com/,"West Bengal, Sikkim","Private School, ICSE School",,Miss. S. Rai,,,,"2 crore, 5 crore, 4 crore",,095476 09932,"srinivasan1990@gmail.com, beena1981@gmail.com, bro.bsc@hotmail.com","ranganadhan20@gmail.com, borkar9@gmail.com, bothra3@gmail.com","info@mountcarmelchd.org, info.an@mountcarmeldelhi.com","help@webkrafts.in, junior.an@mountcarmeldelhi",info.dw@mountcarmeldelhi.com,"+91-9041012137, 9810540751","9810540751, +91 - 9041043654","+91- 9041043654, 9041043655",,,,
Mount Litera Zee School,"B-8, Rajiv Colony Marg Block B, Loni Industrial Area, near BLS Institute of Management, Mohan Nagar, Ghaziabad, Uttar Pradesh 201007",http://www.mountliteragzb.com/,Haryana,Private Schoos,,,,,,11 lakh,,0120 419 2543,dr.jyoti@rediff.com,,mountliteradun@gmail.com,acc.mlzsddn@gmail.com,vacancymlzsddn@gmail.com,principal.faridkot@mountlitera.com,info@jmlzsnagothane.in,mlzs.islampur@mountlitera.com,,,,
Mount Litera Zee School,"MM Nagar, Tiruchirappalli, Tamil Nadu 620102",http://mountlitera.com/Tamil-Nadu/Trichy/best-cbse-school-trichy/,Tamil Nadu,Schools,,,,,,5 lakh,,0431 297 0200,kkbharty.phd@gmail.com,,mountliteraschool@gmail.com,mountliteradun@gmail.com,acc.mlzsddn@gmail.com,9999846534,9999846544,enquiry@mountliteragzb.in,,,,
Mount Litera Zee School,"Sancaole Village, Zuarinagar, behind BITS Pilani Campus, Marmugoa, Goa 403726",http://mlzsgoa.edu.in/,Goa,"Schools, Private Schoos, Kids School, International School",,,,,,"5 lakh, 10 lakh, 8 lakh, 11 lakh",,091680 74499,"issac2@gmail.com, b1989@gmail.com, vazcaroline@gmail.com, om.msc@gmail.com",,"mountliteradun@gmail.com, admin@.in, mountliteraschool@gmail.com","acc.mlzsddn@gmail.com, info@.in, mountliteradun@gmail.com","vacancymlzsddn@gmail.com, info@zeeschool.org.in, acc.mlzsddn@gmail.com","7070717046, 9481700611, 9467694255, vacancymlzsddn@gmail.com","principalmlzsara@gmail.com, 9600116644, 9467636255, mlzs.mathura@mountlitera.com","info@jmlzsnagothane.in, 7904336030, 9467628255, principal.faridkot@mountlitera.com",,,,
Mugberia Gangadhar Mahavidyalaya,"Mugberia Itaberia Road, Bhupati Nagar, West Bengal 721425",http://www.mugberiagangadharmahavidyalaya.org/,,School,,Dr. Swapan Kumar Misra,2 July 1964,Vidyasagar University,,,,03220 270 236,er.sobhan@gmail.com,sidharth.phd@gmail.com,alokkhatua13@gmail.com,mugberia_college@rediffmail.com,,+91 - 9903462427,9002275816,,,,,
Mussoorie International School,"Polo Ground, Sri Nagar Estate, Charleville, Mussoorie, Uttarakhand 248179",http://www.misindia.net/,"Uttarakhand, Uttar Pradesh, Mussoorie, Himachal Pradesh, Arunachal Pradesh","School, Kids School, Private School, CBSE School, ICSE School, IB school, Schools, International School",Co-ED,Mrs. Meeta Sharma,1984,,,"1/2 crore, 4 crore, 5 crore, 4265 crore, 10k, 2 crore",,098374 60408,"dasgupta1969@gmail.com, basanti14@gmail.com, krishna15@hotmail.com, er.shailja@hotmail.com, s1968@gmail.com, er.arup@gmail.com, shikhams@gmail.com, b1980@gmail.com, sethi.phd@gmail.com, dsavdeykarravindranath@gmail.com","ramesh20@gmail.com, phd.nilesh@gmail.com, gopalrao8@gmail.com, principal.hari@gmail.com, dr.gangaram@gmail.com, maratkarsachin@gmail.com, phd.usha@gmail.com, chaturvedi.bsc@gmail.com, vijaychouhan@gmail.com, dr.pratibha@gmail.com","xxxx@misindia.net, info@misindia.net",frontoffice@misindia.org,secretary@misindia.org,9557890674,,,9655611666,,,
NALSAR University of Law,"Justice City, Shamirpet, Hyderabad, Telangana 500101",http://nalsar.ac.in/,Telangana,Kids School,,,1998,,,1/2 crore,,040 2349 8105,,,admissions@nalsar.ac.in,vc@nalsar.ac.in,registrar@nalsar.ac.in,enggdept@nalsar.ac.in,accountsofficer@nalsar.ac.in,acadexamcommittee@nalsar.ac.in,,,,
NEF College,"Lokhra Lalganesh Main Road Near Betkuchi High School Saukuchi, Lokhra, Guwahati, Assam 781040",http://www.nefcollege.com/,,School,,Ghanashyam Nath,2018,"Assam Higher Secondary Education Council, Dibrugarh University, Gauhati University",,,,094011 16666,rajivkumar@gmail.com,shripushpendra@gmail.com,nefghy@gmail.com,nefcollege1@gmail.com,,9401116666,9613134422,9864094466,,,,
NIT Nagaland,"Chumukeidma, Dimapur, Nagaland 797103",http://www.nitnagaland.ac.in/,Nagaland,Kids School,,,2010,,,3 crore,,03862 241 802,,,nzan01@gmail.com,registrar@nitnagaland.ac,amrit09us@yahoo.com,amritpuzari@nitnagaland.ac.in,director@nitnagaland.ac.in,rajagopal.kumar4@gmail.com,,,,
NSR International School,"Warangal, Telangana 506006",http://www.nsrschools.ac.in/,Warangal,Kids School,,,,,,8 lakh,,092950 04559,,,alwal@timekidspreschools.com,asraonagar@timekidspreschools.com,bachupally@timekidspreschools.com,8978957676,7331109060,8886717890,"9511942542, 9523098360, 9930099746",,,
Nalbari College,"college chowk, Nalbari, Assam 781335",http://www.nalbaricollege.org/,,School,,Gitima Buzarbaruah (I/C),1945,"Gauhati University, Krishna Kanta Handiqui State Open University",,,,03624 220 241,satish.phd@gmail.com,jovanjeet16@gmail.com,nalbaricollege@rediffmail.com,nalbaricollege1945@gmail.com,,9435310146,9435310880,,,,,
Nandi Academy International School,Andhra Pradesh 518502,http://www.nandiacademy.com/,Andhra Pradesh,International School,,,,,,10 lakh,,090009 94262,toshimamrs@gmail.com,,info@nandischools.com,principal@nandiacademy,principal@nandiacademy.com,9000994262,8514222002,,,,,
Narayana Etechno School,"No 152, Poonamallee High Rd, near Saveetha Dental College, Abirami Nagar, Velappanchavadi, Poonamallee, Chennai, Tamil Nadu 600077",http://www.narayanaschools.in/,Tamil Nadu,Schools,,,,,,5 lakh,,1800 102 3344,bedi1982@rediff.com,,southcity2@narayanagroup.com,abhaykumars@narayanagroup.com,rajnagar@narayanagroup.com,9717430184,+91-8744068981,8373915146,,,,
Narayana e-Techno School,"90, Main Road, Zamin Pallavaram, Easwari Nagar, Pallavaram, Chennai, Tamil Nadu 600043",http://www.narayanaschools.in/,Tamil Nadu,CBSE School,,,,,,1/2 crore,,1800 102 3344,,,kuldeep.jasala@narayanagroup.com,rajnagar@narayanagroup.com,delgurs37c.etchno@narayanagroup.com,+91-8744068981,far.etechno@narayanagroup.com,kuldeepjasala@gmail.com,"sxxxxxxh@in, djane@inventureacademy.com, j.doe@inventureacademy.com",,,
National Academy for Learning,"3rd Cross Rd, West Of Chord Road, West of Chord Road 3rd Stage, Basaveshwar Nagar, Bengaluru, Karnataka 560079",http://www.nafl.in/,Karnataka,"CBSE School, ICSE School, IB school",,Ms. Indira Jayakrishnan,1994,,,"3 crore, 1/2 crore, 1945 crore",,080 2323 9281,"dr.indira@gmail.com, col.msc@rediff.com, tyagi.bsc@gmail.com","pro.nandkumar@gmail.com, amrutajadhav@gmail.com, dr.sadashiv@gmail.com",admin@nafl.in,hr@npsurbana.com,info.naflurbana@gmail.com,9113658341,,,,,,
National Institute Of Technology Sikkim,"Barfung Block, Ravangla, Sikkim 737139",http://www.nitsikkim.ac.in/,Sikkim,Kids School,,,,,,6 crore,,074790 13180,,,director@nitsikkim.ac.in,directoroffice@nitsikkim.ac.in,registrar@nitsikkim.ac.in,8670364931,absamaddar@yahoo.com,info@nitsikkim.ac.in,"8448281776, 7275409090, 7317701112",,,
National Institute of Open Schooling (NIOS) Gandhinagar,"7th Floor, D. Block, M. S. Building, Opp, Zaverchand Meghani Cir, Sector 11, Gandhinagar, Gujarat 382010",http://www.niosgnr.org/,Gujarat,Board School,,,,,,12 lakh,,079 2322 0410,basil11@yahoo.com,,rcgandhinagar@nios.ac.in,rdgandhinagar@nios.ac.in,rcguwahati@nios.ac.in,7383846691,7923220410,9401979617,,,,
National Public School,"228, Avvai Shanmugam Salai, Ganapathy Colony, Gopalapuram, Chennai, Tamil Nadu 600086",http://www.npschennai.com/,"Tamil Nadu, Chennai","School, Private School, CBSE School, International School",,R Sujatha,,,,"4 crore, 3 crore, 3677 crore",,044 2835 1974,"dr1978@gmail.com, ms1981@hotmail.com, sekhardatta@gmail.com, dr1968@gmail.com, alwyn13@hotmail.com","principal.c@gmail.com, madhukarrao16@gmail.com, panjabrao19@gmail.com, bedre13@gmail.com, prakash19@gmail.com",nps.sbd@gmail.com,info@bnpsramvihar.edu.in,"info@nationalpublicschool.org, gsnpsbmj@gmail.com",9310353898,"info@gsnationalpublicschool.com, info@nationalpublicschool.org",,,,,
National Public School RNR,"1036-A, West of Chord Road, 5th Block, Rajaji Nagar, Bengaluru, Karnataka 560010",http://www.npsrnr.com/,Yelahanka,SSC School,Co-ed,"Mini Jayan (Principal, Primary School)",1959,,,,,080 2335 0361,npsrnr@gmail.com,,npsrnr@gmsil.com,info@npsrnr.com,info@nps.ac.in,9900047474,9632296318,,,,,
Navy Children School,"rn 39 behind kv2, RN-39, New Navy Nagar, Colaba, Mumbai, Maharashtra 400005",http://www.ncsmumbai.com/,Maharashtra,CBSE School,,,1984,,,3 crore,,022 2215 2285,,,prin.ncs.mb@gmail.com,doejohn@company.com,doe_john@company.com,8291614970,8692800401,9447052500,,,,
