School Name,Address,Pincode,Website,City,Category,Gender,Principal,Founded,Affiliation,Strength,Website,Fees,Revenue,Mobile/Contact Number,Principal/Heigher Mgm. Emails,Emails,Other Higher Mgm. Email,Other Email,Other Email.1,Contact number,Contact number.1,Contact number.2,Merged_Unnamed
Vivekananda Mission High School,"Dakshin Mechgram Rd, Mecho Gram, Panskura, West Bengal 721139",721139.0,http://vmhschool.com/,West Bengal,Private School,,,,,,,2.5 crore,,03228 252 577,,,mecvmhs@gmail.com,info@vmhschool.com,,7029146352,7384320775,8927955150,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Satyanarayan Academy,"RAMKRISHNA NAGAR SIBARAMPUR, Narrah, West Bengal 732155",732155.0,http://www.snacademy.in/,West Bengal,Private School,,,,,,,3986 crore,,097491 76526,,,snacademy@yahoo.com,info@satyanarayanacademy.com,,919732063785,9732063785,9434003971,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Central Model School,"23, River Side Rd, Barrackpore, Kolkata, West Bengal 700120",700120.0,http://www.cmsbarrackpore.org/,West Bengal,Private School,,,,,,,1/2 crore,,033 2593 5121,,,amtalacms@gmail.com,info@cmsbarrackpore.org,doejohn@cmsbarrackpore.org,9830588536,8100265454,9674850783,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
St.Paul's Academy,"NH 2, Pamra, Bambattala More, Joteram, Bardhaman, West Bengal 713104",713104.0,https://www.stpaulsacademybwn.org/,West Bengal,Private School,,,,,,,3 crore,,0342 324 4455,,,info@stpaulsacademybwn.org,spaburdwan@gmail.com,,919564063020,919564543444,9564063020,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Pathfinder Higher Secondary Public School,"188 Jodhpur Park, Near Jodhpur ParkBoy’s School, Kolkata, West Bengal 700068",700068.0,http://phsps.edu.in/,West Bengal,Private School,,,,,,,4 crore,,085850 70195,,,jodhpurpark@phsps.edu.in,durgapur@phsps.edu.in,berhampur@phsps.edu.in,8336921340,7605032247,8336913738,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Burdwan Model School,"Katwa Bardhaman Rd, Dewandighi, Mirzapur, West Bengal 713102",713102.0,https://www.burdwanmodelschool.ac.in/,West Bengal,Private School,,,,,,,3 crore,,0342 262 3368,,,oaer.bms@gmail.com,info@burdwanmodelschool.ac.in,,917407400505,9734888149,7407400505,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Little Laureates Bolpur,"Near Telephone Tower, Bolpur, Bhubandanga, Kolkata, West Bengal 731204",731204.0,https://www.littlelaureates.com/,West Bengal,Private School,,,,,,,4 crore,,070440 26388,,,info@littlelaureates.com,admission@littlelaureates.com,onlinepartners@littlelaureates.com,+91-8420009160,customersupport@littlelaureates.com,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
The Scottish Church Collegiate School,"73, Bidhan Sarani, Goa Bagan, Ward Number 16, Kolkata, West Bengal 700006",700006.0,http://sccskolkata.in/,West Bengal,Private School,,,,,,,5 crore,,033 2555 7006,,,info.sccskolkata@gmail.com,tic@scottishchurch.ac.in,sccs.kol@gmail.com,7980837093,9883268781,9830694353,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Amity University Kolkata,"Major Arterial Road(South-East), AA II, Newtown, Kolkata, West Bengal 700135",700135.0,http://www.amity.edu/kolkata/,West Bengal,Private School,,,,,,,3 crore,,1800 102 3320,,,registrar@kol.amity.edu,dkbanerji@kol.amity.edu,admissions@kol.amity.edu,9433313928,8001023320,8448396303,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
La Martiniere for Girls School,"Minto Park, Rawdon St, beside Vodafone, Kolkata, West Bengal",,http://lamartiniere.co/,West Bengal,Private School,,,,,,,2 crore,,033 2290 3841,,,secretary@lamartiniere.co,lmgclko@gmail.com,lmgcweb@gmail.com,7570000131,7570000132,+91-9454469226,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
"Carmel School, Kolkata","Budge Budge Trunk Road, Maheshtala, Parbangla, Budge Budge, Kolkata, West Bengal 700137",700137.0,http://chskolkata.in/chs/index.php,West Bengal,Private School,,,,,,,1/2 crore,,033 2480 0295,,,chskolkata@gmail.com,carmelschooldp@gmail.com,kecarmelbehala@gmail.com,9836401746,8335802827,9830318494,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
St. Augustine's School,"Upper Sirubari, Giddha Pahar, Kurseong, West Bengal 734203",734203.0,https://www.staugustine.co.in/,West Bengal,Private School,,,,,,,4 crore,,0354 233 8120,,,sasvasai.principal@gmail.com,principal@saskalimpong.com,barrackpore@staugustineday.com,7875071519,staugustines@gatedu.org,,"mediarelations@krea.edu.in, partnerships@krea.edu.in, enquiries@krea.edu.in, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Bodhi Bhavans- One of the best CBSE School in South Kolkata,"159, Sarat Bose Rd, Manoharpukur, Kalighat, Kolkata, West Bengal 700026",700026.0,http://www.bodhibhavans.org/,West Bengal,CBSE School,,,,,,,2.5 crore,,098300 62937,,,bodhi.bhavanskolkata@gmail.com,bodhi.bhavans@rediffmail.com,,9830062937,9170107042,9831315242,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Mount Litera Zee School North Kolkata,"Barrackpore Matarangi Nava Randa, Suryapur, Nilganj Rd, Kolkata, West Bengal 700121",700121.0,http://mlzsbarrackpore.com/,West Bengal,CBSE School,,,,,,,2 crore,,090380 11196,,,mlzs.barrackpore@mountlitera.com,partner@mountlitera.com,mlzsmaheshtala@sainischools.net,9875442599,9038011196,9875465358,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Hem Sheela Model School,"Jawahar Lal Nehru Road, Mamra, Durgapur, West Bengal 713214",713214.0,http://www.hemsheela.in/,West Bengal,CBSE School,,,,,,,2.5 crore,,0343 256 6850,,,hemsheela@gmail.com,aninditahomec@yahoo.com,,9475447863,9434711184,7501458305,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Birla Bharati School,"Taratolla Santoshpore New Road, near Nature Park P. O. Bidhangarh, Kolkata, West Bengal 700066",700066.0,https://www.birlabharati.org/,West Bengal,CBSE School,,,,,,,3995 crore,,033 2491 0540,,,info@birlabharati.org,principal@birlabharati.org,viceprincipal@birlabharati.org,9830281660,9830282209,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
"Delhi Public Secondary School, Barasat","Moynagodi, NH12, Barasat, District:, West Bengal 700125",700125.0,http://www.dpssbarasat.com/,West Bengal,CBSE School,,,,,,,4 crore,,083340 37777,,,info@dpssbarasat.com,admission@dwpsbarasat.com,info@dwpsbarasat.com,8585858012,8585858154,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Central Model School,"23, River Side Rd, Barrackpore, Kolkata, West Bengal 700120",700120.0,http://www.cmsbarrackpore.org/,West Bengal,CBSE School,,,,,,,3 crore,,033 2593 5121,,,amtalacms@gmail.com,info@cmsbarrackpore.org,sumanchatterjee512@gmail.com,9674850783,9830588536,8100265454,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
JRS Public School,"Uttar Panchpota, Chakdaha, West Bengal 741222",741222.0,http://jrspublicschool.org/,West Bengal,CBSE School,,,,,,,2 crore,,03473 245 530,,,jrsps2011@gmail.com,jrsps2011@gmail,sir_kamal08@rediffmail.com,9679233188,9732421939,,"8222911801, 8222911802, 8222911804, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Chatterjee National School,"Birnagar, Uttar Para, West Bengal 741127",741127.0,http://www.chatterjeenationalschool.com/,West Bengal,CBSE School,,,,,,,4 crore,,070440 76005,,,cnsbprincipal@gmail.com,info@chatterjeenationalschool.com,chatterjeenationalschool@gmail.com,+91-9836831662,9836831662,9064792605,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Asian International School,"New Korola, PS Domjur, Near Dhulagarh Logistic Centre, NH 6, Dhulagori, Howrah, West Bengal 711302",711302.0,http://www.aisedu.org/,West Bengal,CBSE School,,,,,,,1/2 crore,,033 2669 0097,,,principal@aisedu.org,headmistress@aisedu.org,reception@aisedu.org,9910345671,info@shiaaninternational.in,principal.ruwais@asianintlschool.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Chatterjee National School,"Birnagar, West Bengal 741127",741127.0,http://www.chatterjeenationalschool.com/,West Bengal,CBSE School,,,,,,,2.5 crore,,,,,cnsbprincipal@gmail.com,info@chatterjeenationalschool.com,chatterjeenationalschool@gmail.com,+91-9836831662,9836831662,9064792605,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Green Field Academy | English Medium School in Rajarhat | CBSE school in Rajarhat,"Tapan Mitra Sarani, Purbachal, Tetultala, Bablatala, Gopalpur I, Kolkata, West Bengal 700136",700136.0,http://www.greenfieldacademy.org.in/,West Bengal,CBSE School,,,,,,,4 crore,,089027 01491,,,das.rita.rita@gmail.com,npssbs@gmail.com,npsrajarhat@npssbs.org.in,8179880169,7479021543,8902701491,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Durgapur Public School,"Sahid Sukumar Banerjee Sarani, Near BENGAL COLLEGE OF ENGINEERING, Bidhannagar, Durgapur, West Bengal 713212",713212.0,http://www.dpsdgp.com/,West Bengal,CBSE School,,,,,,,3 crore,,081700 21127,,,contact@dpsdgp.com,dps.raiganj@gmail.com,dpsdgp@gmail.com,9126903387,9434744306,7908862212,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Satyanarayan Academy,"RAMKRISHNA NAGAR SIBARAMPUR, Narrah, West Bengal 732155",732155.0,http://www.snacademy.in/,West Bengal,CBSE School,,,,,,,2 crore,,097491 76526,,,snacademy@yahoo.com,info@satyanarayanacademy.com,,919732063785,9732063785,9434003971,"9143124573, 9143124555, 9853374444, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kalyani Public School,"Barasat, Kolkata, West Bengal 700125",700125.0,http://kalyanipublicschool.org/,West Bengal,CBSE School,,,,,,,5 crore,,32972954,,,kpublicschool@gmail.com,principal.kpssaltlake@gmail.com,,+91-9875333264,9635518008,9875333264,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kalyani Central Model School,"B-4/486, Kalyani, West Bengal 741235",741235.0,http://www.kalyanicms.org/,West Bengal,CBSE School,,,,,,,4 crore,,033 2582 8316,,,avnschool_rn@rediffmail.com,sumanchatterjee512@gmail.com,kcms_1971@yahoo.com,+91-7980396853,8961156366,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Burdwan Model School,"Katwa Bardhaman Rd, Dewandighi, Mirzapur, West Bengal 713102",713102.0,https://www.burdwanmodelschool.ac.in/,West Bengal,CBSE School,,,,,,,1/2 crore,,0342 262 3368,,,oaer.bms@gmail.com,info@burdwanmodelschool.ac.in,,917407400505,9734888149,7407400505,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
St. Xavier's Public School,"NH-6, Kancharipara, Bagnan, West Bengal 711303",711303.0,http://www.xaviersbagnan.com/,West Bengal,CBSE School,,,,,,,4 crore,,094746 91748,,,info@xaviersbagnan.com,donboscobagnan@gmail.com,xaviersbagnan@gmail.com,7992257022,9679442581,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Burnpur Riverside School,"Burnpur:, Riverside Twp, West Bengal 713325",713325.0,http://www.brsburnpur.com/,West Bengal,CBSE School,,,,,,,2.5 crore,,0341 224 1617,,,brsburnpur@gmail.com,dgp_pribrs@sancharnet.in,-brsbnp@gmail.com,9434663722,9434670364,9679429752,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
St. Mary's Arcadian School,"Aishtala, Ranaghat, West Bengal 741201",741201.0,http://stmarysgroupofinstitutions.in/,West Bengal,CBSE School,,,,,,,4 crore,,081450 01177,,,stmarysranaghat@gmail.com,smbcadmission2123@gmail.com,spal1967@gmail.com,8145001177,8145001188,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Bodhi Bhavans collegiate school,"159, Sarat Bose Rd, Manoharpukur, Kalighat, Kolkata, West Bengal 700026",700026.0,http://www.bodhibhavans.org/,West Bengal,CBSE School,,,,,,,4 crore,,033 2466 9433,,,bbcs.admission@gmail.com,bodhi.bhavanskolkata@gmail.com,,9831315242,9830062937,9170107042,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Modi Public School,"Phathargata Road, Matigara, Siliguri, West Bengal 734010",734010.0,http://www.mpssiliguri.com/,West Bengal,CBSE School,,,,,,,2.5 crore,,095647 77747,,,dmps@del3.vsnl.net.in,vivekchaturvedi2007@rediffmail.com,mps_kota@yahoo.com,9451354860,9455382101,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana School,"Near, Nirmala Convent School Rd, Chayan Para, Ward No. 42, Siliguri, West Bengal 734004",734004.0,http://www.narayanaschools.in/,West Bengal,CBSE School,,,,,,,3 crore,,1800 102 3344,,,abhaykumars@narayanagroup.com,info@narayanagroup.com,greaternoida.hs630@narayanagroup.com,9716020971,wbsodepur.etechno@narayanagroup,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana School Maheshtala,"Shibrampur Road, Behind Green Field City, Mahestala, Kolkata, West Bengal 700143",700143.0,http://www.narayanaschools.in/,West Bengal,CBSE School,,,,,,,2 crore,,1800 102 3344,,,narayanawbcbse@gmail.com,wbmaheshtala.etechno@narayanagroup,info@narayanagroup.com,9830561616,info@entranceindia.com,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
CENTRAL MODEL SCHOOL,"sunny park, kannya nagar, Amtala, 24pgs(s), Diamond Harbour, West Bengal 743503",743503.0,http://centralmodelschool.com/,West Bengal,CBSE School,,,,,,,2.5 crore,,096748 50783,,,amtalacms@gmail.com,info@cmsbarrackpore.org,doejohn@cmsbarrackpore.org,9830588536,8100265454,9674850783,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana School,"LAND NURSING HOME, NARAYANA SCHOOL, 47, Bahir Sarbamangala Para Rd, NEAR DREEAM, RENAISSANPA TOWNSHIP, Bardhaman, West Bengal 713104",713104.0,http://www.narayanaschools.in/,West Bengal,CBSE School,,,,,,,4009 crore,,1800 102 3344,,,abhaykumars@narayanagroup.com,info@narayanagroup.com,greaternoida.hs630@narayanagroup.com,9716020971,wbsodepur.etechno@narayanagroup,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana School,"Narayana School Asansol,Kalyanpur Satellite Township Near Water Tank, WEST, Kalyanpur, Asansol, West Bengal 713305",713305.0,http://www.narayanaschools.in/,West Bengal,CBSE School,,,,,,,4010 crore,,082472 07570,,,abhaykumars@narayanagroup.com,info@narayanagroup.com,greaternoida.hs630@narayanagroup.com,9716020971,wbsodepur.etechno@narayanagroup,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana School,"Narayana School,Belilious road opposite to tikiapara railway station beside belilious park, Tikiapara, Howrah, West Bengal 711101",711101.0,http://www.narayanaschools.in/,West Bengal,CBSE School,,,,,,,1/2 crore,,1800 102 3344,,,abhaykumars@narayanagroup.com,info@narayanagroup.com,greaternoida.hs630@narayanagroup.com,9716020971,wbsodepur.etechno@narayanagroup,,"+91-9262892998, +91-9262892999, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
SHEMFORD FUTURISTIC SCHOOL,"Goda P, West Bengal 713102",713102.0,http://shemfordburdwan.com/,West Bengal,CBSE School,,,,,,,2 crore,,070471 28077,,,admissions@gurugram.shemford.com,atwa@shemford.com,guwahati@shemford.com,+91-8448496733,+91-8800550099,9387130617,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana School,"Shibrampur Rd, behind GREEN FIELD CITY, Sukdebpur, Maheshtala, West Bengal 700140",700140.0,http://www.narayanaschools.in/,West Bengal,CBSE School,,,,,,,4 crore,,1800 102 3344,,,abhaykumars@narayanagroup.com,info@narayanagroup.com,greaternoida.hs630@narayanagroup.com,9716020971,wbsodepur.etechno@narayanagroup,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
PROM HIGH SCHOOL,"158, 1, Dharmatala Rd, Salkia, Howrah, West Bengal 711106",711106.0,http://promhighschool.in/,West Bengal,CBSE School,,,,,,,2.5 crore,,098314 54354,,,info@promhighschool.in,admission@promhighschool.in,,8335833033,8013958021,8910269386,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana School,"Narayana School, Jyotyakali, near Chiriyamore, fulbari, Siliguri, West Bengal 734015",734015.0,http://www.narayanaschools.in/,West Bengal,CBSE School,,,,,,,4012 crore,,077802 40858,,,abhaykumars@narayanagroup.com,info@narayanagroup.com,greaternoida.hs630@narayanagroup.com,9716020971,wbsodepur.etechno@narayanagroup,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana School,"100GD ROAD, Badkhal, Rishra, Kolkata, West Bengal 712248",712248.0,http://www.narayanaschools.in/,West Bengal,CBSE School,,,,,,,4 crore,,1800 102 3344,,,abhaykumars@narayanagroup.com,info@narayanagroup.com,greaternoida.hs630@narayanagroup.com,9716020971,wbsodepur.etechno@narayanagroup,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana School,"GIRLS S, NARAYANA SCHOOL,VIII MOHISPOTA,P.O NATAGARH P S GHLA, LANDMARK MOHISPOTA, Kalyani Expy, Kolkata, West Bengal 700113",700113.0,http://www.narayanaschools.in/,West Bengal,CBSE School,,,,,,,4 crore,,1800 102 3344,,,abhaykumars@narayanagroup.com,info@narayanagroup.com,greaternoida.hs630@narayanagroup.com,9716020971,wbsodepur.etechno@narayanagroup,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
